,,,,Ordinal or label,None,None,One Hot,One Hot,DO not consider: same values,None: Direct use continuous data,DO not use: redundant,,One hot,Binary encoding,Don't use,One hot,Binary: Yes NO,Do not use,Binary ,Binary Encoding,Binary encoding,Binary encoding,do eda BETWEEN Admit Type and Grades,"One Hot , Nominal","One hot, categorical and nominal",Analysis with EDA
Year to Grad,Term Desc,Class,,Grade,GPA,Units Earned,Major at Entry,Major (Latest),Academic Standing,Units Attempting,Enrollment Status Code,,Expected Grad Term,First Generation,Units Needed,Cohort Type,underrepresented,EOP,Parent level edu,Graduated,Enrolled Not Graduated,Not Graduated Not Enrolled,Admit Type,Program Status,Program Action,Academic Career
0,Spring 2023,CPSC~483~01,,B,3.13,131,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,9,E,,Spring 2023,No,0,Graduated,Yes,No,Parent Attended Some College,100%     (1),0%     (0),0%     (0),First-Time Freshmen,Completed Program,Completion of Program,Undergraduate
,Spring 2023,CPSC~483~01,,B,3.56,27,,,,3,E,,,No,0,Enrolled Not Graduated,Unknown,Unknown,Unknown,0%     (0),100%     (1),0%     (0),Grad/PB,Active in Program,Matriculation,Postbaccalaureate
,Spring 2023,CPSC~483~01,,C,3.55,24,,,,6,E,,,No,0,Enrolled Not Graduated,Unknown,Unknown,Unknown,0%     (0),100%     (1),0%     (0),Grad/PB,Active in Program,Matriculation,Postbaccalaureate
,Spring 2023,CPSC~483~01,,B,3.62,18,,,,6,E,,,No,0,Enrolled Not Graduated,Unknown,Unknown,Unknown,0%     (0),100%     (1),0%     (0),Grad/PB,Active in Program,Matriculation,Postbaccalaureate
,Spring 2023,CPSC~483~01,,B,3.4,12,,,,6,E,,,No,0,Enrolled Not Graduated,Unknown,Unknown,Unknown,0%     (0),100%     (1),0%     (0),Grad/PB,Active in Program,Matriculation,Postbaccalaureate
,Spring 2023,CPSC~483~01,,C,2.61,138,,,,12,E,,,No,0,Graduated,Unknown,Unknown,Unknown,100%     (1),0%     (0),0%     (0),First-Time Freshmen,Completed Program,Completion of Program,Undergraduate
,Spring 2023,CPSC~483~01,,A,3.81,31,,,,12,E,,,No,0,Enrolled Not Graduated,Unknown,Unknown,Unknown,0%     (0),100%     (1),0%     (0),Grad/PB,Active in Program,Matriculation,Postbaccalaureate
,Spring 2023,CPSC~483~01,,A,3.57,18,,,,9,E,,,No,0,Enrolled Not Graduated,Unknown,Unknown,Unknown,0%     (0),100%     (1),0%     (0),Grad/PB,Active in Program,Matriculation,Postbaccalaureate
,Spring 2023,CPSC~483~01,,A,3.6,15,,,,9,E,,,No,0,Enrolled Not Graduated,Unknown,Unknown,Unknown,0%     (0),100%     (1),0%     (0),Grad/PB,Active in Program,Matriculation,Postbaccalaureate
,Spring 2023,CPSC~483~01,,B,3.72,49,,,,9,E,,,No,0,Enrolled Not Graduated,Unknown,Unknown,Unknown,0%     (0),100%     (1),0%     (0),Grad/PB,Active in Program,Matriculation,Postbaccalaureate
